family,species_ASH
Myobatrachidae,Metacrinia nichollsi
Myobatrachidae,Mixophyes balbus
Myobatrachidae,Mixophyes carbinensis
Myobatrachidae,Mixophyes coggeri
Myobatrachidae,Mixophyes fasciolatus
Myobatrachidae,Mixophyes fleayi
Myobatrachidae,Mixophyes iteratus
Myobatrachidae,Mixophyes schevilli
Myobatrachidae,Myobatrachus gouldii
Limnodynastidae,Neobatrachus albipes
Limnodynastidae,Neobatrachus aquilonius
Limnodynastidae,Neobatrachus fulvus
Limnodynastidae,Neobatrachus kunapalari
Limnodynastidae,Neobatrachus pelobatoides
Limnodynastidae,Neobatrachus pictus
Limnodynastidae,Neobatrachus sudellae
Limnodynastidae,Neobatrachus sutor
Limnodynastidae,Neobatrachus wilsmorei
Limnodynastidae,Notaden bennettii
Limnodynastidae,Notaden melanoscaphus
Limnodynastidae,Notaden nichollsi
Limnodynastidae,Notaden weigeli
Ranidae,Papurana daemeli
Myobatrachidae,Paracrinia haswelli
Limnodynastidae,Philoria frosti
Limnodynastidae,Philoria kundagungan
Limnodynastidae,Philoria loveridgei
Limnodynastidae,Philoria pughi
Limnodynastidae,Philoria richmondensis
Limnodynastidae,Philoria sphagnicolus
Limnodynastidae,Platyplectrum ornatum
Limnodynastidae,Platyplectrum spenceri
Myobatrachidae,Pseudophryne australis
Myobatrachidae,Pseudophryne bibronii
Myobatrachidae,Pseudophryne coriacea
Myobatrachidae,Pseudophryne corroboree
Myobatrachidae,Pseudophryne covacevichae
Myobatrachidae,Pseudophryne dendyi
Myobatrachidae,Pseudophryne douglasi
Myobatrachidae,Pseudophryne guentheri
Myobatrachidae,Pseudophryne major
Myobatrachidae,Pseudophryne occidentalis
Myobatrachidae,Pseudophryne pengilleyi
Myobatrachidae,Pseudophryne raveni
Myobatrachidae,Pseudophryne semimarmorata
Myobatrachidae,Rheobatrachus silus
Myobatrachidae,Rheobatrachus vitellinus
Bufonidae,Rhinella marina
Myobatrachidae,Spicospina flammocaerulea
Myobatrachidae,Taudactylus acutirostris
Myobatrachidae,Taudactylus diurnus
Myobatrachidae,Taudactylus eungellensis
Myobatrachidae,Taudactylus liemi
Myobatrachidae,Taudactylus pleione
Myobatrachidae,Taudactylus rheophilus
Myobatrachidae,Uperoleia altissima
Myobatrachidae,Uperoleia arenicola
Myobatrachidae,Uperoleia aspera
Myobatrachidae,Uperoleia borealis
Myobatrachidae,Uperoleia crassa
Myobatrachidae,Uperoleia daviesae
Myobatrachidae,Uperoleia fusca
Myobatrachidae,Uperoleia glandulosa
Myobatrachidae,Uperoleia inundata
Myobatrachidae,Uperoleia laevigata
Myobatrachidae,Uperoleia lithomoda
Myobatrachidae,Uperoleia littlejohni
Myobatrachidae,Uperoleia mahonyi
Myobatrachidae,Uperoleia marmorata
Myobatrachidae,Uperoleia martini
Myobatrachidae,Uperoleia micra
Myobatrachidae,Uperoleia micromeles
Myobatrachidae,Uperoleia mimula
Myobatrachidae,Uperoleia minima
Myobatrachidae,Uperoleia mjobergii
Myobatrachidae,Uperoleia orientalis
Myobatrachidae,Uperoleia rugosa
Myobatrachidae,Uperoleia russelli
Myobatrachidae,Uperoleia saxatilis
Myobatrachidae,Uperoleia stridera
Myobatrachidae,Uperoleia talpa
Myobatrachidae,Uperoleia trachyderma
Myobatrachidae,Uperoleia tyleri
Myobatrachidae,Assa wollumbin
Pelodryadidae,Litoria balatus
Pelodryadidae,Litoria quiritatus
Pelodryadidae,Litoria spaldingi
Pelodryadidae,Litoria watsoni
Limnodynastidae,Philoria knowlesi
Myobatrachidae,Pseudophryne robinsoni
Myobatrachidae,Uperoleia gurrumuli
