country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId,
Australia,Savage river4,2007,016fbd5833a038d93b458540797315f1,"Driessen, Michael M - michael.driessen[at]dpipwe.tas.gov.au",,,,Australasia,,,,300271,,-41.52797,145.21141,,,,,,,,,,,,,,223,,,,,Decimal degrees,,,,223,1,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2016fbd5833a038d93b458540797315f1,release1,300,
Australia,"Homebush Bay, NSW",1997,0178a6c7803ac6a3bab961c5ecb41a07,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300410,,-33.86806,151.08234,,,,,,,,,,,,,,4,,,,,Decimal degrees,,,,4,,,D | 1 | 1,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB20178a6c7803ac6a3bab961c5ecb41a07,release1,300,
Australia,"Herdsman Lake, Osborne Park",1986,017a9ebb2f4008e786181f3751f750d6,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300497,,-31.898,115.812,,,,,,,,,,,,,,31,,,,,Decimal degrees,,,,31,,,D | 1 | 1,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2017a9ebb2f4008e786181f3751f750d6,release1,300,
Australia,"Clohesy river Rd, W of Kuranda",2003,018b1cfbfda3662f2461749a6c5a3299,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300828,,-16.90722,145.56778,,,,,,,,,,,,,,495,,,,,Decimal degrees,,,,495,,,ND | 0 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2018b1cfbfda3662f2461749a6c5a3299,release1,300,
Australia,"Wayville, SA",1998,01b7a84fb6f81204cf94f77ba3622c76,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300348,,-34.94522,138.58926,,,,,,,,,,,,,,56,,,,,Decimal degrees,,,,56,,,D | 1 | 1,South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB201b7a84fb6f81204cf94f77ba3622c76,release1,300,
Australia,Site 3 - Darraweit Guim,2010,01c3c0f30f8d891ed41bf5466468237b,See reference,,,,Australasia,,,14,301092,,-37.397538,144.916509,,,,,,,,,,,,,,,,,,,"UTM coordinates, converted",,,,,4,,ND | 0 | 1,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN201c3c0f30f8d891ed41bf5466468237b,release2,300,
Australia,lake st Clair1,2006,01ce992846f4dc1074a9b4f9ad6d7bf8,"Driessen, Michael M - michael.driessen[at]dpipwe.tas.gov.au",,,,Australasia,,,,300244,,-42.1237,146.21276,,,,,,,,,,,,,,760,,,,,Decimal degrees,,,,760,,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB201ce992846f4dc1074a9b4f9ad6d7bf8,release1,300,
Australia,Burke and Wills Roadhouse area,2003,02134ed8f2bbc3676094ba997aca94f3,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300726,,-19.36833,140.55472,,,,,,,,,,,,,,125,,,,,Decimal degrees,,,,125,,,ND | 0 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB202134ed8f2bbc3676094ba997aca94f3,release1,300,
Australia,"Daves catchment, open farmland",2005,0252c637956a1299c0cd825b8e3174c0,"Van Sluys, Monique - vansluys[at]uerj.br",,,,Australasia,,,28,300959,,-28.219111,153.231889,,,,,,,,,,,,,,200,,,,,"DMS, converted",,,,,11,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN20252c637956a1299c0cd825b8e3174c0,release2,300,
Australia,"Windin Creek North, Wooroonooran National Park",2005,02b09a059210e96ad677b4b93b90c2fb,"Woodhams, Douglas C - dwoodhams[at]gmail.com",,,,Australasia,,,,300920,,-17.365833,145.715,,,,,,,,,,,,,,750,,,,,"DMS, converted",,,,750,9,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB202b09a059210e96ad677b4b93b90c2fb,release1,300,
Australia,Strahan56,2007,02c1f489789ee9f5f4ad95205833dd79,"Driessen, Michael M - michael.driessen[at]dpipwe.tas.gov.au",,,,Australasia,,,,300236,,-42.24606,145.61746,,,,,,,,,,,,,,261,,,,,Decimal degrees,,,,261,1,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB202c1f489789ee9f5f4ad95205833dd79,release1,300,
Australia,Unknown,2013,02daa5bc55969796d171f4545a61e1d9,Laura Brannelly,,,Laura Brannelly,,,,16,,,-36.372,148.452,,,,,,,,,,,,,,,,,30,,,,,,1606,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQT202daa5bc55969796d171f4545a61e1d9,zawacki,222,
Australia,The Bluff Hut,2008,02db6a28a40d5338a21db6608306861a,See reference,,,,Australasia,,,27,301095,,-37.217021,146.524733,,,,,,,,,,,,,,,,,,,"Google Earth, Mapcarta, based on location name",,,,,10,,D | 1 | 1,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN202db6a28a40d5338a21db6608306861a,release2,300,
Australia,"Small tributary of Teviot Brook that rises between Mount Roberts and Mount Bell (second gully crossing along old forestry road), Main Range National Park (formerly Teviot Forest Reserve), south-east Queensland.",1999,02e114e34e23ad051b0798676fe80f02,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300576,,-28.22186,152.4782,,,,,,,,,,,,,,892,,,,,Decimal degrees,,,,892,,,ND | 0 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB202e114e34e23ad051b0798676fe80f02,release1,300,
Australia,"Pinjara Hills, Brisbane",1983,02eb378b7518792d7239316b96446e5b,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300621,,-27.468,153.028,,,,,,,,,,,,,,15,,,,,Decimal degrees,,,,15,,,D | 3 | 3,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB202eb378b7518792d7239316b96446e5b,release1,300,
Australia,Chudleigh,2005,03878301da6153c6fced3e065f5d0bab,"Obendorf, David - davidobendorf[at]tassie.net.auMurray, Kris - k.murray1[at]uq.edu.au",,,,Australasia,,,,300269,,-41.54931,146.42206,,,,,,,,,,,,,,297,,,,,Decimal degrees,,,,297,,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB203878301da6153c6fced3e065f5d0bab,release1,300,
Australia,"1.25Km W Vlam Rd, Bussel Hwy",1994,038e6ba3cc47a7e86be328c87d02cd7b,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300382,,-34.11667,115.08333,,,,,,,,,,,,,,38,,,,,Decimal degrees,,,,38,,,ND | 0 | 1,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2038e6ba3cc47a7e86be328c87d02cd7b,release1,300,
Australia,Collinsville - Bowen Road,2002,03aab8a45ac1c29e197593a2fdb876e5,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300717,,-20.09333,148.14083,,,,,,,,,,,,,,46,,,,,Decimal degrees,,,,46,,,ND | 0 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB203aab8a45ac1c29e197593a2fdb876e5,release1,300,
Australia,"Saddletree Creek, Bunya Mountains National Park",2002,044c869857ddcbc7251e8fae12ec767d,"Symonds, Emma P (Pearl) - pearl66[at]bigpond.com.au",,,,Australasia,,,,300132,,-26.86667,151.6,,,,,,,,,,,,,,920,,,,,"DMS, converted",,,,920,,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2044c869857ddcbc7251e8fae12ec767d,release1,300,
Australia,Central Plateau3,2006,047602d380f0e4cd1e708fc2ce0a0287,"Driessen, Michael M - michael.driessen[at]dpipwe.tas.gov.au",,,,Australasia,,,,300252,,-41.87541,146.60567,,,,,,,,,,,,,,1056,,,,,Decimal degrees,,,,1056,,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2047602d380f0e4cd1e708fc2ce0a0287,release1,300,
Australia,"East Cedar Creek, below the junction of two major branches, Mapleton Forest Reserve, south-east Queensland.",2000,047c0f81ec40871cfc3c03b6b3befc32,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300668,,-26.56523,152.85642,,,,,,,,,,,,,,306,,,,,Decimal degrees,,,,306,,,ND | 0 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2047c0f81ec40871cfc3c03b6b3befc32,release1,300,
Australia,Tyagarah Nature Reserve,2006,04c312030f19615132868a842a3061b1,"Simpkins, Clay - claysimpkins[at]hotmail.com",,,,Australasia,,,18,300956,,-28.6068,153.5676,,,,,,,,,,,,,,,,,,,Decimal degrees,,,,,1,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN204c312030f19615132868a842a3061b1,release2,300,
Australia,South Coast track8,2007,04d8725fe9b102f0384311e62ebf81ae,"Driessen, Michael M - michael.driessen[at]dpipwe.tas.gov.au",,,,Australasia,,,,300176,,-43.60623,146.74596,,,,,,,,,,,,,,84,,,,,Decimal degrees,,,,84,1,,ND | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB204d8725fe9b102f0384311e62ebf81ae,release1,300,
Australia,"Ogilvies Dam, Kosciuszko National Park",2013,04da65209c909f18170b1cd23c41ac37,"Brannelly, Laura - laura.brannelly[at]my.jcu.edu.au",,,,Australasia,,,22,301007,,-36.015831,148.327788,,,,,,,,,,,,,,,,,250,,"Google Earth, NSW topo maps",,,,,10,,D | 2 | 2,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN204da65209c909f18170b1cd23c41ac37,release2,300,
Australia,Unknown,2013,04edebaf34c7343394f190a60930da82,Laura Brannelly,,,Laura Brannelly,,,,12,,,-36.359,148.484,,,,,,,,,,,,,,,,,30,,,,,,1519,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DQT204edebaf34c7343394f190a60930da82,zawacki,222,
Australia,"Head of Three Moon Creek, Kroombit Tops National Park, south-west of Gladstone, south-east Queensland.",1999,04fbc968380e3e2e1b24712e89980334,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300683,,-24.40595,151.03063,,,,,,,,,,,,,,545,,,,,Decimal degrees,,,,545,,,ND | 0 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB204fbc968380e3e2e1b24712e89980334,release1,300,
Australia,"Frog Bog, Knocklofty Reserve",2005,051653e5ef1302a0caf7990d250c09a5,"Obendorf, David - davidobendorf[at]tassie.net.auMurray, Kris - k.murray1[at]uq.edu.au",,,,Australasia,,,,300210,,-42.88691,147.30126,,,,,,,,,,,,,,,,,,,Decimal degrees,,,,,,,D | <unk> | <unk>,Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2051653e5ef1302a0caf7990d250c09a5,release1,300,
Australia,Tully Gorge National Park,2006,0521df6698fa1d32d9b7ecb5bef0cde8,"Grogan, Laura - l.grogan[at]griffith.edu",,,,Australasia,,,18,301057,,-17.766667,145.633333,,,,,,,,,,,,,,,,,,,"DMS, converted",,,,,5,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN20521df6698fa1d32d9b7ecb5bef0cde8,release2,300,
Australia,"Lake Mountain, Marysville, Site L11, Echo Flat",2009,055a05fec355519747e446abb34967c7,See reference,,,,Australasia,,,,301078,,-37.485048,145.882206,,,,,,,,,,,,,,,,,,,"publication map, Google Earth",,,,,,,D | 1 | <unk>,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsN2055a05fec355519747e446abb34967c7,release2,300,
Australia,"Above Minyon Falls, NSW",1998,05637212777dd926007c7ef5a985f85d,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300551,,-28.615,153.385,,,,,,,,,,,,,,308,,,,,Decimal degrees,,,,308,,,ND | 0 | 1,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB205637212777dd926007c7ef5a985f85d,release1,300,
Australia,Sale,1998,0565df66f799359c11771071bd8c05a2,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300296,,-38.10944,147.06333,,,,,,,,,,,,,,37,,,,,Decimal degrees,,,,37,,,ND | 0 | 1,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB20565df66f799359c11771071bd8c05a2,release1,300,
Australia,"Murray Falls, eastern Queensland",2005,0599df44ef8ef4d57ab6556d21b30a89,"Kriger, Kerry M - kmk5g[at]yahoo.com",,,,Australasia,,,,300077,,-18.153,145.816,,,,,,,,,,,,,,95,,,,,Decimal degrees,,,,95,,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB20599df44ef8ef4d57ab6556d21b30a89,release1,300,
Australia,37 KM NE Denmark,1999,05aa0a8a619fe1adcf7083853884187a,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300358,,-34.73333,117.63333,,,,,,,,,,,,,,124,,,,,Decimal degrees,,,,124,,,D | 1 | 2,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB205aa0a8a619fe1adcf7083853884187a,release1,300,
Australia,"Bold Park, Perth",1994,066b53b27a961bc9bfa1ba7df4ff5b36,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300477,,-31.93333,115.76667,,,,,,,,,,,,,,7,,,,,Decimal degrees,,,,7,,,ND | 0 | 2,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2066b53b27a961bc9bfa1ba7df4ff5b36,release1,300,
Australia,"Goomburra, Qld",1997,06e8e575d92de54c77e495f812c4fefd,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300004,,-27.98266,152.35028,,,,,,,,,,,,,,881,,,,,Decimal degrees,,,,881,,,D | 3 | 6,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB206e8e575d92de54c77e495f812c4fefd,release1,300,
Australia,Yabbra Ck Falls,1998,06ec237ca190abe05aad8cd951ae5a6c,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300547,,-28.732,152.434,,,,,,,,,,,,,,314,,,,,Decimal degrees,,,,314,,,ND | 0 | 1,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB206ec237ca190abe05aad8cd951ae5a6c,release1,300,
Australia,"Bo Bo River, nr Dorrigo, NSW",2009,0705cd15aaacb9574fce300e80679f3a,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300031,,-30.382,152.751,,,,,,,,,,,,,,438,,,,,Decimal degrees,,,,438,,,D | 1 | 1,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB20705cd15aaacb9574fce300e80679f3a,release1,300,
Australia,"Ledge Beach, Albany",1979,070ee5a56039b3e57d39c2b915953d82,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300340,,-35.01667,117.98333,,,,,,,,,,,,,,0,,,,,Decimal degrees,,,,0,,,ND | 0 | 1,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB2070ee5a56039b3e57d39c2b915953d82,release1,300,
Australia,"Naracoorte airport, southeastern South Australia",2008,07374f38b282c62aa6ad998b7256dfe6,"V_r_s, Judit - jvoros[at]nhmus.hu",,,,Australasia,,,,300875,,-36.98,140.74,,,,,,,,,,,,,,74,,,,,Decimal degrees,,,,74,12,,ND | 0 | 1,South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB207374f38b282c62aa6ad998b7256dfe6,release1,300,
Australia,"Frenchman Creek, Wooroonooran National Park, Queensland",1999,07c0223c61806f539eefc180e2b8a25c,"Berger, Lee - Lee.Berger[at]dah.csiro.au",,,,Australasia,,,,300047,,-17.30753,145.91808,,,,,,,,,,,,,,142,,,,,Decimal degrees,,,,142,,,D | 1 | 1,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB207c0223c61806f539eefc180e2b8a25c,release1,300,
Australia,Walpole-Nornalup Nat. Park,1986,07c1bdb67957a7c5f0bc4e921e5fc8a2,"Murray, Kris A - k.murray1[at]uq.edu.au",,,,Australasia,,,,300339,,-35.01667,116.85,,,,,,,,,,,,,,161,,,,,Decimal degrees,,,,161,,,ND | 0 | 1,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB207c1bdb67957a7c5f0bc4e921e5fc8a2,release1,300,
Australia,"Booloumba Falls, Mary River catchement",2004,07f9ddf8ac74ddaedaf7e33d3064940b,"Kriger, Kerry M - kerry[at]savethefrogs.com",,,,Australasia,,,,300661,,-26.686111,152.62,,,,,,,,,,,,,,430,,,,,"DMS, converted",,,,430,,,D | 2 | 2,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DsB207f9ddf8ac74ddaedaf7e33d3064940b,release1,300,
